mediaId,media.title.english
17895,Golden Time
17827,A Good Librarian Like a Good Shepherd
13535,Good Luck Girl!
8425,Gosick
21428,Grimgar of Fantasy and Ash
9379,Ground Control to Psychoelectric Girl
10793,Guilty Crown
3299,H2O: Footprints in the Sand
10719,Haganai
14027,Haganai: Add-on Disc
14967,Haganai NEXT
11785,Nyaruko: Crawling with Love!
15699,Nyaruko-san: Another Crawling Chaos W
6895,Hakuoki ~Demon of the Fleeting Blossom~
9065,Hakuoki ~Demon of the Fleeting Blossom~ Record of the Jade Blood
13115,Hakuoki ~Demon of the Fleeting Blossom~ Dawn of the Shinsengumi
10350,Hakuoki: Demon of the Fleeting Blossom: A Memory of Snow Flowers
20521,Hamatora
20711,Re: Hamatora
9289,Hanasaku Iroha ~Blossoms for Tomorrow~
20575,HaNaYaMaTa
21213,Haruchika - Haruta & Chika
5150,Hatsukoi Limited
21595,Haven't You Heard? I'm Sakamoto
2026,Hayate the Combat Butler
5521,Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!
4192,Hayate the Combat Butler!!
14653,Hayate the Combat Butler: Can't Take My Eyes Off You
16982,Hayate the Combat Butler: Cuties
5958,Heaven's Lost Property
8407,Heaven's Lost Property: Forte
10568,Heaven's Memo Pad
20881,Heavy Object
20654,Hello!! KINMOZA!
16732,KINMOZA!
15225,Hentai Prince & the Stony Cat
11617,High School DxD
12729,High School DxD OVA
15451,High School DxD NEW
21103,"High School DxD NEW OVA Oppai, Tsutsumimasu!"
20745,High School DxD BorN
21573,High School DxD BorN: Yomigaeranai Fushichou
21316,High School Fleet
934,When They Cry
1889,When They Cry Kai
3652,When They Cry Rei
10357,Humanity Has Declined
21362,Hundred
21378,Hybrid x Heart Magias Academy Ataraxia
12189,Hyouka
16157,Hyperdimension Neptunia
19685,If Her Flag Breaks
20488,Inari Kon Kon
9041,Infinite Stratos
10794,IS: Infinite Stratos Encore: A Sextet Yearning for Love
18247,Infinite Stratos 2
97592,Interviews with Monster Girls
11013,Inu X Boku Secret Service
20458,The Irregular at Magic High School
20920,Is It Wrong to Try to Pick Up Girls in a Dungeon?
21676,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side
101167,Is It Wrong to Try to Pick Up Girls in a Dungeon? II
20517,Is the Order a Rabbit?
21034,Is the Order a Rabbit?? Season 2
8841,Is this a Zombie?
10209,Is this a Zombie? OVA
10790,Is this A Zombie? of the Dead
20746,Isuca
14765,Ixion Saga DT
21838,Izetta: The Last Witch
20518,JINSEI - Life Consulting
21291,Joker Game
12413,Jormungand
13331,Jormungand: Perfect Order
12679,Joshiraku
14467,K
20913,K: RETURN OF KINGS
5680,K-ON!
7791,K-ON! Season 2
9734,K-ON! Season 2: Plan!
21196,Kabaneri of the Iron Fortress
489,Kamichu!
10372,Kamisama Dolls
14713,Kamisama Kiss
20801,Kamisama Kiss◎
21186,Kamisama Kiss◎ OVA
6205,Kämpfer
20553,KanColle
3503,Kanokon: The Girl Who Cried Fox
144,Kanon
1530,Kanon (2006)
6594,Katanagatari
20529,The Kawai Complex Guide to Manors and Hostel Behavior
12531,Kids on the Slope
18679,Kill la Kill
11079,Kill Me Baby
3229,Kimi ga Aruji de Shitsuji ga Ore de
147,Rumbling Hearts
3318,Rumbling Hearts OVA
6045,Kimi ni Todoke: From Me to You
9656,Kimi ni Todoke: From Me to You Season 2
7593,kiss×sis (TV)
5042,Kiss x Sis
21421,Kiznaiver
1486,Kodocha
634,Koi Kaze
11887,Kokoro Connect
16001,Kokoro Connect ~ The OVAs
21202,KONOSUBA -God's blessing on this wonderful world!
21699,KONOSUBA -God's blessing on this wonderful world! 2
11227,Lagrange: The Flower of Rin-ne
13727,Lagrange: The Flower of Rin-ne – Kamogawa Days
12281,Lagrange: The Flower of Rin-ne Season 2
20712,Lance N' Masques
11179,"Listen to Me, Girls. I Am Your Father!"
13655,Little Busters!
18195,Little Busters! Refrain
20611,Locodol
17265,Log Horizon
20671,Log Horizon 2
587,Looking Up at the Half-Moon
21567,The Lost Village
20615,selector infected WIXOSS
20714,selector spread WIXOSS
21772,Lostorage incited WIXOSS
98473,Lostorage conflated WIXOSS
16353,Love Lab
14741,"Love, Chunibyo & Other Delusions"
16934,"Love, Chunibyo & Other Delusions: Glimmering...Explosive Festival (Slapstick Noel)"
18671,"Love, Chunibyo & Other Delusions - Heart Throb -"
12175,"Love, Election and Chocolate"
21482,Luck & Logic
21738,Hina Logic - from Luck & Logic
1887,Lucky☆Star
4472,Lucky☆Star OVA
16067,A Lull in the Sea (Nagi-Asu: Nagi no Asukara)
169,Lunar Legend Tsukihime
20647,M3: Sono Kuroki Hagane
14513,Magi: The Labyrinth of Magic
21394,Magi: Adventure of Sinbad
18115,Magi: The Kingdom of Magic
21340,Magical Girl Raising Project
19769,Magical Warfare
20708,Magimoji Rurumo
104291,Magimoji Rurumo OAD
10213,Majikoi: Oh! Samurai Girls
9936,Maken-Ki! Battling Venus
11209,Maken-Ki! OVA
15565,Maken-Ki! Battling Venus 2
14833,Maoyu: Archenemy & Hero
21366,March comes in like a lion
98478,March comes in like a lion Season 2
20840,Maria the Virgin Witch
10397,Mashiroiro Symphony
21873,Matoi the Sacred Slayer
10110,Mayo Chiki!
7590,Mayoi Neko Overrun!
11761,Medaka Box
14527,Medaka Box Abnormal
849,The Melancholy of Haruhi Suzumiya
4382,The Melancholy of Haruhi Suzumiya (2009)
20983,Mikagura School Suite
21776,Miss Kobayashi's Dragon Maid
8424,MM!
21507,Mob Psycho 100
101338,Mob Psycho 100 II
2581,Mobile Suit Gundam 00
3927,Mobile Suit Gundam 00 Second Season
21268,Mobile Suit GUNDAM Iron Blooded Orphans
21749,Mobile Suit GUNDAM Iron Blooded Orphans 2
20668,Monthly Girls' Nozaki-kun
11021,Muv-Luv Alternative: Total Eclipse
21201,Schwarzes Marken
21459,My Hero Academia
21856,My Hero Academia Season 2
100166,My Hero Academia Season 3
14227,My Little Monster
20946,My Love Story!!
19221,My Mental Choices Are Completely Interfering With My School Romantic Comedy
14813,My Teen Romantic Comedy SNAFU
20698,My Teen Romantic Comedy SNAFU TOO!
21306,Myriad Colors Phantom World
12467,Mysterious Girlfriend X
8915,The Mystic Archives of Dantalian
13367,NAKAIMO - My Little Sister Is Among Them!
20556,Nanana's Buried Treasure
20,Naruto
1735,Naruto: Shippuden
97938,Boruto: Naruto Next Generations
12119,Natsuiro Kiseki
21455,NEW GAME!
98292,NEW GAME!!
10165,Nichijou - My Ordinary Life
18897,Nisekoi
20876,Nisekoi:
19815,"No Game, No Life"
20509,Nobunaga the Fool
17549,Non Non Biyori
20694,Non Non Biyori Repeat
20447,Noragami
21128,Noragami Aragoto
20643,Norn9
6512,Nyan Koi!
6974,Occult Academy
21708,Occultic;Nine
7769,Okami-san and Her Seven Companions
21087,One-Punch Man
97668,One-Punch Man Season 2
14199,OniAi
9587,I don't like my big brother at all!!
21647,Orange
8769,Oreimo
13659,Oreimo 2
18857,Oreimo 2 (ONA)
14749,Oreshura
853,Ouran High School Host Club
19369,Outbreak Company
20832,Overlord
98437,Overlord II
101474,Overlord III
21511,Pandora in the Crimson Shell Ghost Urn
21190,The Perfect Insider
13759,The Pet Girl of Sakurasou
19117,The Pilot's Love Song
20607,Ping Pong the Animation
12291,Place to Place
21732,Planetarian
20872,Plastic Memories
530,Sailor Moon
740,Sailor Moon R
532,Sailor Moon S
1239,Sailor Moon SuperS
996,Sailor Moon Sailor Stars
14751,Sailor Moon Crystal
21462,Sailor Moon Crystal Season 3
21330,Prince of Stride: Alternative
7662,Psychic Detective Yakumo
13601,PSYCHO-PASS
20513,PSYCHO-PASS 2
9756,Puella Magi Madoka Magica
21557,Qualidea Code
10611,R-15
21189,Rampo Kitan: Game of Laplace
20814,Re-Kan!
21355,Re:ZERO -Starting Life in Another World-
17777,"Recently, My Sister Is Unusual"
14921,Red Data Girl
21497,Reikenzan: Hoshikuzu-tachi no Utage
21744,Reikenzan: Eichi e no Shikaku
21049,ReLIFE
98635,ReLIFE: Final Arc
21382,Rewrite
97665,Rewrite: Moon and Terra
19429,Riddle Story of Devil
8241,Rio: Rainbow Gate!
10572,Ro-Kyu-Bu ~ Fast Break!
16051,Ro-Kyu-Bu! SS
13599,Robotics;Notes
20955,Rokka -Braves of the Six Flowers-
20815,The Rolling Girls
45,Rurouni Kenshin
3470,S.A: Special A
20657,Saekano: How to Raise a Boring Girlfriend
21180,Saekano: How to Raise a Boring Girlfriend ♭
21613,Saga of Tanya the Evil
5671,Saki
10884,Saki -  Episode of Side A
16123,Saki: The Nationals
20047,Sakura Trick
8277,Samurai Girls
11499,Sankarea: Undying Love
14289,"Say ""I love you""."
2476,School Days (TV)
20754,SCHOOL-LIVE!
21715,Scorching Ping Pong Girls
21701,Scum's Wish
8675,Seitokai Yakuindomo
10119,Seitokai Yakuindomo OVA
20448,Seitokai Yakuindomo Season 2
21009,Seiyu's Life!
4063,Sekirei
5277,Sekirei: Pure Engagement
12611,Sengoku Collection
18119,Servant x Service
16355,The Severing Crime Edge
355,Shakugan no Shana
2787,Shakugan no Shana: Season II 
6572,Shakugan no Shana S
6773,Shakugan no Shana: Season III
20910,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist
12367,Shining Hearts
20771,Shomin Sample
79,SHUFFLE!
9863,SKET Dance
20774,Sky Wizards Academy
21058,Snow White with the Red Hair
21258,Snow White with the Red Hair Season 2
12549,"So, I Can't Play H!"
10109,Softenni
1965,sola
17651,Day Break Illusion
3588,Soul Eater
20547,Soul Eater Not!
20912,Sound! Euphonium
21460,Sound! Euphonium 2
20057,Space Dandy
341,Spiral: Bond of Reasoning
8557,Squid Girl
10378,Squid Girl 2
9253,Steins;Gate
21127,Steins;Gate 0
17821,"Stella Women's Academy, High School Division Class C3"
12967,La Storia Della Arcana Famiglia
18277,Strike the Blood
21815,Strike the Blood Second
5909,Student Council's Discretion
10464,Student Council's Discretion Level 2
16009,Sunday Without God
20475,Sabagebu! - Survival Game Club!
21659,Sweetness & Lightning
11757,Sword Art Online
20594,Sword Art Online II
100183,Sword Art Online Alternative: Gun Gale Online
100182,Sword Art Online: Alicization
21031,Taboo Tattoo
16417,Tamako Market
9055,Tamayura
10232,Tamayura: Hitotose
15731,Tamayura: More Aggressive
21495,Tanaka-kun is Always Listless
13333,Tari Tari
20661,Terror in Resonance
20678,The Testament of Sister New Devil
21110,The Testament of Sister New Devil BURST
21457,This Art Club Has a Problem!
21334,"Three Leaves, Three Colors"
687,Tokyo Mew Mew
16011,Tokyo Ravens
4224,Toradora!
21832,Trickster
20631,TRINITY SEVEN
15379,The Troubled Life of Miss Kotoura
21499,Twin Star Exorcists
21018,Ultimate Otaku Teacher
10798,UN-GO
17247,Unbreakable Machine-Doll
21188,Undefeated Bahamut Chronicle
20758,Unlimited Fafnir
12317,Upotte!!
21116,Valkyrie Drive: Mermaid
6956,Wagnaria!!
21764,WWW.WAGNARIA!!
10521,Wagnaria!!2
20819,Wagnaria!!3
11433,Waiting in the Summer
19151,Walkure Romanze
16742,"WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!"
9922,We Without Wings – Under the Innocent Sky
20646,When Supernatural Battles Became Commonplace
17919,Wish Upon the Pleiades
20503,Witch Craft Works
20053,Wizard Barristers
20627,World Break: Aria of Curse for a Holy Swordsman
8525,The World God Only Knows
10080,The World God Only Knows II
10805,The World God Only Knows: 4 Girls and an Idol
15117,The World God Only Knows: Tenri Arc
16706,The World God Only Knows: Goddesses
20599,The World is Still Beautiful
184,Xenosaga: The Animation
20966,Yamada and the Seven Witches
8861,Yosuga no Sora: In Solitude Where We are Least Alone
4548,Yozakura Quartet
18497,Yozakura Quartet: Hana no Uta
20800,Yuki Yuna is a Hero
97769,Yuki Yuna is a Hero: The Hero Chapter
100791,Yuki Yuna is a Hero: The Washio Sumi Chapter
21709,Yuri!!! on ICE
20827,Yurikuma Arashi
10495,YuruYuri
12403,YuruYuri Season 2
21088,YuruYuri Season 3
15911,Yuyushiki
8476,Zakuro
105333,Dr. STONE
105310,Fire Force
100668,Arifureta: From Commonplace to World's Strongest
101547,Isekai Cheat Magician
104723,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?
106918,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note
107663,ASTRA LOST IN SPACE
107956,"If It's for My Daughter, I'd Even Defeat a Demon Lord"
105932,O Maidens in Your Savage Season
107961,"Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?"
104252,"Demon Lord, Retry!"
106893,Cop Craft
108147,GRANBELM
107490,The Demon Girl Next Door
103048,Re:Stage! Dream Days
101922,Demon Slayer: Kimetsu no Yaiba
100112,Wise Man’s Grandchild
105914,The Helpful Fox Senko-san
103900,We Never Learn: BOKUBEN
107418,Fairy gone
102939,Midnight Occult Civil Servants
99263,The Rising of the Shield Hero
101759,The Promised Neverland
101921,Kaguya-sama: Love is War
103139,Domestic Girlfriend
103572,The Quintessential Quintuplets
101283,Boogiepop and Others
102882,Real Girl 2
101930,Girly Air Force
104674,The Price of Smiles
101165,GOBLIN SLAYER
101291,Rascal Does Not Dream of Bunny Girl Senpai
101280,That Time I Got Reincarnated as a Slime
99424,SSSS.GRIDMAN
101014,RELEASE THE SPYCE
101004,How NOT to Summon a Demon Lord
101292,Holmes of Kyoto
100298,Megalobox
100179,Tada Never Falls In Love
100526,Real Girl
98477,Frankenstein Family
100532,Amanchu! ~Advance~
99423,DARLING in the FRANXX
99426,A Place Further Than the Universe
97832,Citrus
98444,Laid-Back Camp
97907,Death March to the Parallel World Rhapsody
97768,Record of Grancrest War
99507,The Ryuo's Work is Never Done!
99483,Hakata Tonkotsu Ramens
98439,Mitsuboshi Colors
98693,Slow Start
98747,Katana Maidens ~ Toji No Miko
99720,Maerchen Maedchen
98436,The Ancient Magus' Bride
97994,BLEND-S
99726,Recovery of an MMO Junkie
98596,A Sister's All You Need.
98443,JUNI TAISEN：ZODIAC WAR
98820,Just Because!
98951,My Girlfriend is Shobitch
99698,King's Game
100684,Recovery of an MMO Junkie OVA
98977,Our love has always been 10 centimeters apart.
98607,Anime-Gataris
98513,URAHARA
97986,Made in Abyss
97766,GAMERS!
98659,Classroom of the Elite
98491,In Another World With My Smartphone
97863,My First Girlfriend is a Gal
98505,Princess Principal
98320,LOVE and LIES
97663,Knight's & Magic
97979,Fastest Finger First
98631,Convenience Store Boy Friends
97707,Escha Chron
21685,Eromanga Sensei
98202,Tsukigakirei
97980,Re:CREATORS
21700,Akashic Records of Bastard Magic Instructor
21860,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?
97660,Sagrada Reset
21563,Clockwork Planet
97903,Sakura Quest
97821,Alice & Zoroku
21452,KADO: The Right Answer
87517,Hinako Note
97625,Tsugumomo
97932,The Royal Tutor
21857,Masamune-kun's Revenge
21858,Little Witch Academia (TV)
1313,Digimon: Digital Monsters 02
552,Digimon: Digital Monsters
5702,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai
101348,Vinland Saga
105156,Cautious Hero: The Hero Is Overpowered but Overly Cautious
103275,Fate/Grand Order Absolute Demonic Front: Babylonia
104464,ORESUKI: Are you the only one who loves me?
104159,AZUR LANE
110229,We Never Learn!: BOKUBEN Season 2
108388,High School Prodigies Have It Easy Even In Another World
101227,Didn't I Say to Make My Abilities Average in the Next Life?!
104115,After School Dice Club
108554,Special 7: Special Crime Investigation Unit
109089,Outburst Dreamer Boys (TV)
110789,Null & Peta
100246,Z/X: Code Reunion
110810,Kandagawa Jet Girls
109298,Keep Your Hands Off Eizouken!
104051,Magia Record: Puella Magi Madoka Magica Side Story
108092,Asteroid in Love
110350,ID: INVADED
105190,Darwin's Game
112293,Seton Academy: Join the Pack!
101350,pet
101168,Plunderer
101367,Sorcerous Stabber Orphen
108617,Somali and the Forest Spirit
104462,A Certain Scientific Railgun T
107201,In/Spectre
106863,Nekopara
108463,Toilet-bound Hanako-kun
107067,"Science Fell in Love, So I Tried to Prove It"
107420,Infinite Dendrogram
106479,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense."
101351,Happy Sugar Life
101349,BABYLON
108307,PSYCHO-PASS 3
108478,No Guns Life
113917,PSYCHO-PASS 3: First Inspector
111501,Smile Down the Runway
104391,"If My Favorite Pop Idol Made It to the Budokan, I Would Die"
113932,Pokémon: Twilight Wings
111951,The Case Files of Jeweler Richard
108714,ACCA: 13-Territory Inspection Dept. - Regards
99807,22/7 (nanabun no nijyuuni)
112125,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to Go Searching for Herbs on a Deserted Island?
110445,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?: Do You Love Your Mom on the Shore?
113864,Special Crime Investigation Unit - Special 7 OVA
114926,Kandagawa Jet Girls OVA
98515,Hatena Illusion
113311,Kakushigoto
112166,Outburst Dreamer Boys: It's the Destiny of Those Born as Men
111762,Fruits Basket Season 2
109020,"SING ""YESTERDAY"" FOR ME"
115230,Tower of God
113693,Ascendance of a Bookworm Part 2
104647,My Next Life as a Villainess: All Routes Lead to Doom!
114888,The Millionaire Detective - Balance: UNLIMITED
110547,Arte
114811,Digimon Adventure:
112444,APPARE-RANMAN!
107871,Princess Connect! Re:Dive
112353,"Wave, Listen to Me!"
108266,Tsugumomo2
108241,Gleipnir
109019,Diary of Our Days at the Breakwater
106319,The 8th Son? Are You Kidding Me?
109856,Listeners
110458,Shironeko Project ZERO CHRONICLE
113570,"Shachibato! President, It's Time for Battle!"
111500,Sakura Wars the Animation
100077,HINAMATSURI
99578,Wotakoi: Love is Hard for Otaku
98658,Revue Starlight
99131,Comic Girls
101316,IRODUKU: The World in Colors
100010,MAGICAL GIRL SITE
5081,Bakemonogatari
11597,Nisemonogatari
15689,Nekomonogatari Black
21262,Owarimonogatari
20918,Tsukimonogatari
17074,Monogatari Series Second Season
21745,Owarimonogatari Second Season
20593,Hanamonogatari
100815,Zoku Owarimonogatari
21520,Koyomimonogatari
9989,Anohana: The Flower We Saw That Day
30,Neon Genesis Evangelion
101281,Carole & Tuesday
107660,BEASTARS
108632,Re:ZERO -Starting Life in Another World- Season 2
108489,My Teen Romantic Comedy SNAFU Climax!
114236,Fire Force Season 2
116006,The God of High School
114308,Sword Art Online: Alicization - War of Underworld Part 2
113813,Rent-a-Girlfriend
112301,The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants
110353,DECA-DENCE
115113,Uzaki-chan Wants to Hang Out!
113286,Monster Girl Doctor
112818,SUPER HXEROS
112803,No Guns Life Season 2
104937,Lapis Re:LiGHTs
113415,JUJUTSU KAISEN
112124,Is It Wrong to Try to Pick Up Girls in a Dungeon? III
112300,The Irregular at Magic High School: Visitor Arc
116267,TONIKAWA: Over The Moon For You
114446,Higurashi: When They Cry - GOU
116673,BURN THE WITCH
112609,Wandering Witch: The Journey of Elaina
116005,Noblesse
118419,The Day I Became a God
116566,Akudama Drive
112667,Our Last Crusade or the Rise of a New World
109287,Adachi and Shimamura
116242,I'm Standing on a Million Lives
117343,Talentless Nana
111324,Ikebukuro West Gate Park
114124,Moriarty the Patriot
112479,Assault Lily BOUQUET
111428,Sleepy Princess in the Demon Castle
115740,By the Grace of the Gods
114340,Kuma Kuma Kuma Bear
118376,KING's RAID: Successors of the Will
116173,Warlords of Sigrdrifa
104198,Is the Order a Rabbit? BLOOM
108713,Dropout Idol Fruit Tart
117755,MAGATSU WAHRHEIT
103119,Strike Witches: Road to Berlin
110277,Attack on Titan Final Season
108725,The Promised Neverland Season 2
113936,Dr. STONE: STONE WARS
108511,That Time I Got Reincarnated as a Slime Season 2
119661,Re:ZERO -Starting Life in Another World- Season 2 Part 2
109261,The Quintessential Quintuplets 2
124080,Horimiya
108465,Mushoku Tensei: Jobless Reincarnation
104459,LAID-BACK CAMP SEASON2
114862,Log Horizon: Destruction of the Round Table
103632,"So I'm a Spider, So What?"
113425,Redo of Healer
112443,Bottom-Tier Character Tomozaki
113231,2.43: Seiin High School Boys Volleyball Team
118375,The Hidden Dungeon Only I Can Enter
112649,Suppose a Kid from the Last Dungeon Boonies moved to a starter town?
116287,Otherside Picnic
109403,Non Non Biyori Nonstop
113585,Skate-Leading Stars
124131,Gekidol
116944,WIXOSS DIVA(A)LIVE
124153,SK8 the Infinity
114085,Kemono Jihen
124845,WONDER EGG PRIORITY
113814,Idoly Pride
117193,My Hero Academia Season 5
124194,Fruits Basket The Final Season
114232,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway"
116588,Combatants Will Be Dispatched!
116338,Welcome to Demon School! Iruma-kun Season 2
114840,Koikimo
124858,Moriarty the Patriot Part 2
113359,MEGALOBOX 2: NOMAD
115183,MARS RED
128546,Vivy -Fluorite Eye's Song-
113950,SSSS.DYNAZENON
129664,JORAN THE PRINCESS OF SNOW AND BLOOD
123494,"Farewell, My Dear Cramer"
123802,The Saint's Magic Power is Omnipotent
129386,SEVEN KNIGHTS REVOLUTION: Hero Successor
125426,The Way of the Househusband
16592,Danganronpa: The Animation
21803,Kubikiri Cycle: The Blue Savant and the Nonsense User
114535,To Your Eternity
120120,Tokyo Revengers
116589,86 EIGHTY-SIX
117448,How NOT to Summon a Demon Lord Ω
112608,I've Been Killing Slimes for 300 Years and Maxed Out My Level
116741,The Slime Diaries
124675,Osamake: Romcom Where The Childhood Friend Won't Lose
125038,SHADOWS HOUSE
